INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182073705,301,Robbery,ROBBERY - STREET,A1,173,,2018-09-12 21:50:00,2018,9,Wednesday,21,Part One,SUMMER ST,42.35196671,-71.05415459,"(42.35196671, -71.05415459)"
I182073441,301,Robbery,ROBBERY - STREET,A1,101,,2018-09-12 02:15:00,2018,9,Wednesday,2,Part One,MILK ST,42.35822966,-71.05362239,"(42.35822966, -71.05362239)"
I182073385,301,Robbery,ROBBERY - STREET,A7,24,,2018-09-11 20:10:00,2018,9,Tuesday,20,Part One,BROOKS ST,42.37928285,-71.0353629,"(42.37928285, -71.03536290)"
I182073327,301,Robbery,ROBBERY - STREET,B2,179,,2018-09-10 22:00:00,2018,9,Monday,22,Part One,ALTHER ST,42.3308322,-71.0742883,"(42.33083220, -71.07428830)"
I182073299,311,Robbery,ROBBERY - COMMERCIAL,D4,137,,2018-09-11 16:16:00,2018,9,Tuesday,16,Part One,NEWBURY ST,42.34999733,-71.0810344,"(42.34999733, -71.08103440)"
I182073083,301,Robbery,ROBBERY - STREET,B3,469,,2018-09-10 22:53:00,2018,9,Monday,22,Part One,WALK HILL ST,42.2790573,-71.09584789,"(42.27905730, -71.09584789)"
I182073070,301,Robbery,ROBBERY - STREET,B2,179,,2018-09-10 22:10:00,2018,9,Monday,22,Part One,FARNHAM ST,42.33046536,-71.07442945,"(42.33046536, -71.07442945)"
I182073012,301,Robbery,ROBBERY - STREET,C11,402,,2018-09-10 15:30:00,2018,9,Monday,15,Part One,ASHMONT ST,42.28534033,-71.07118543,"(42.28534033, -71.07118543)"
I182072988,301,Robbery,ROBBERY - STREET,D4,141,,2018-09-08 00:00:00,2018,9,Saturday,0,Part One,NEWBURY ST,42.34840576,-71.08688339,"(42.34840576, -71.08688339)"
I182072963,301,Robbery,ROBBERY - STREET,A7,17,,2018-09-10 15:51:00,2018,9,Monday,15,Part One,SARATOGA ST,42.37950444,-71.02857705,"(42.37950444, -71.02857705)"
I182072795,301,Robbery,ROBBERY - STREET,A1,124,,2018-09-10 02:50:00,2018,9,Monday,2,Part One,TYLER ST,42.34888042,-71.06149764,"(42.34888042, -71.06149764)"
I182072631,311,Robbery,ROBBERY - COMMERCIAL,C11,349,,2018-09-09 11:20:00,2018,9,Sunday,11,Part One,DORCHESTER AVE,42.30396336,-71.05924636,"(42.30396336, -71.05924636)"
I182072615,311,Robbery,ROBBERY - COMMERCIAL,C11,235,,2018-09-09 10:49:33,2018,9,Sunday,10,Part One,DORCHESTER AVE,42.32029322,-71.05676992,"(42.32029322, -71.05676992)"
I182072565,301,Robbery,ROBBERY - STREET,D4,591,,2018-09-09 04:30:00,2018,9,Sunday,4,Part One,IPSWICH ST,42.34750972,-71.09011373,"(42.34750972, -71.09011373)"
I182072407,301,Robbery,ROBBERY - STREET,B2,266,,2018-09-08 15:31:00,2018,9,Saturday,15,Part One,WHITING ST,42.32525618,-71.07922845,"(42.32525618, -71.07922845)"
I182072403,301,Robbery,ROBBERY - STREET,A1,115,,2018-09-08 14:51:00,2018,9,Saturday,14,Part One,EAST ST,42.35156343,-71.05701389,"(42.35156343, -71.05701389)"
I182072314,351,Robbery,ROBBERY - BANK,D4,164,,2018-09-08 09:50:00,2018,9,Saturday,9,Part One,WASHINGTON ST,42.34175462,-71.0685477,"(42.34175462, -71.06854770)"
I182072222,361,Robbery,ROBBERY - OTHER,C11,359,,2018-09-07 23:20:00,2018,9,Friday,23,Part One,ALPHA RD,42.29581546,-71.06884734,"(42.29581546, -71.06884734)"
I182071942,301,Robbery,ROBBERY - STREET,B3,425,,2018-09-06 23:52:00,2018,9,Thursday,23,Part One,BABSON ST,42.27267557,-71.09192911,"(42.27267557, -71.09192911)"
